stride,timestamp,x,y,heading,algorithm
0,2026-01-08T23:04:53.108705,1.73,3.696,-1.63,bayesian
1,2026-01-08T23:05:07.037844,1.724,4.393,-0.54,bayesian
2,2026-01-08T23:05:09.135950,1.708,5.089,-1.28,bayesian
3,2026-01-08T23:05:15.487891,2.317,5.428,-299.05,bayesian
4,2026-01-08T23:05:17.353955,2.956,5.699,48.76,bayesian
5,2026-01-08T23:05:24.287344,2.958,5.7,-281.7,bayesian
6,2026-01-08T23:05:25.757729,2.958,5.7,-301.29,bayesian
7,2026-01-08T23:05:27.188372,2.958,5.7,46.61,bayesian
8,2026-01-08T23:05:34.782608,2.958,5.7,34.06,bayesian
9,2026-01-08T23:05:38.914338,2.958,5.7,-3.32,bayesian
10,2026-01-08T23:05:45.927400,2.958,5.7,49.1,bayesian
11,2026-01-08T23:05:47.149752,2.958,5.7,35.52,bayesian
12,2026-01-08T23:05:48.507563,2.958,5.7,24.2,bayesian
