stride,timestamp,x,y,heading,algorithm
0,2026-01-08T23:04:53.109653,1.733,3.583,-1.63,kalman
1,2026-01-08T23:05:07.039096,1.728,4.091,-0.54,kalman
2,2026-01-08T23:05:09.136421,1.716,4.658,-1.28,kalman
3,2026-01-08T23:05:15.488353,2.085,5.035,-299.05,kalman
4,2026-01-08T23:05:17.354457,2.439,5.474,48.76,kalman
5,2026-01-08T23:05:24.287879,2.892,5.752,-281.7,kalman
6,2026-01-08T23:05:25.758211,3.325,6.123,-301.29,kalman
7,2026-01-08T23:05:27.188864,3.733,6.547,46.61,kalman
8,2026-01-08T23:05:34.783116,4.1,7.021,34.06,kalman
9,2026-01-08T23:05:38.914879,4.282,7.558,-3.32,kalman
10,2026-01-08T23:05:45.927868,4.684,8.009,49.1,kalman
11,2026-01-08T23:05:47.150263,5.048,8.51,35.52,kalman
12,2026-01-08T23:05:48.508091,5.366,9.048,24.2,kalman
