stride,timestamp,x,y,heading,algorithm
0,2026-01-08T23:04:53.092106,1.73,3.7,-1.63,naive
1,2026-01-08T23:05:06.999762,1.723,4.4,-0.54,naive
2,2026-01-08T23:05:09.114306,1.707,5.1,-1.28,naive
3,2026-01-08T23:05:15.475377,2.319,5.44,-299.05,naive
4,2026-01-08T23:05:16.980364,2.845,5.901,48.76,naive
5,2026-01-08T23:05:23.973225,3.53,6.043,-281.7,naive
6,2026-01-08T23:05:25.560185,4.128,6.407,-301.29,naive
7,2026-01-08T23:05:26.995584,4.637,6.888,46.61,naive
8,2026-01-08T23:05:34.127495,5.029,7.468,34.06,naive
9,2026-01-08T23:05:38.664217,4.988,8.167,-3.32,naive
10,2026-01-08T23:05:45.840849,5.517,8.625,49.1,naive
11,2026-01-08T23:05:47.057634,5.924,9.195,35.52,naive
12,2026-01-08T23:05:48.399736,6.211,9.834,24.2,naive
