stride,timestamp,x,y,heading,algorithm
0,2026-01-08T23:04:53.116941,1.747,3.618,-1.63,particle
1,2026-01-08T23:05:07.057927,1.765,4.293,-0.54,particle
2,2026-01-08T23:05:09.143448,1.69,4.847,-1.28,particle
3,2026-01-08T23:05:15.495452,2.126,4.92,-299.05,particle
4,2026-01-08T23:05:17.362370,2.441,5.109,48.76,particle
5,2026-01-08T23:05:24.295700,2.783,5.11,-281.7,particle
6,2026-01-08T23:05:25.766027,2.899,5.121,-301.29,particle
7,2026-01-08T23:05:27.196674,3.018,5.235,46.61,particle
8,2026-01-08T23:05:34.790991,3.034,5.479,34.06,particle
9,2026-01-08T23:05:38.922709,2.908,5.6,-3.32,particle
10,2026-01-08T23:05:45.935598,3.078,5.574,49.1,particle
11,2026-01-08T23:05:47.158031,3.043,5.589,35.52,particle
12,2026-01-08T23:05:48.516141,2.908,5.581,24.2,particle
